Thr,Precision,Recall,F1
0.01,0.9074,0.9655,0.9356,
0.02,0.9258,0.9503,0.9379,
0.03,0.9433,0.9452,0.9442,
0.04,0.9477,0.9381,0.9429,
0.05,0.9523,0.9330,0.9426,
0.06,0.9572,0.9299,0.9434,
0.07,0.9591,0.9289,0.9438,
0.08,0.9611,0.9289,0.9448,
0.09,0.9631,0.9269,0.9446,
.1,0.9639,0.9228,0.9429,
0.11,0.9647,0.9157,0.9396,
0.12,0.9647,0.9137,0.9385,
0.13,0.9647,0.9137,0.9385,
0.14,0.9656,0.9107,0.9373,
0.15,0.9656,0.9056,0.9345,
0.16,0.9656,0.9025,0.9328,
0.17,0.9656,0.8975,0.9300,
0.18,0.9682,0.8954,0.9304,
0.19,0.9691,0.8924,0.9292,
.2,0.9701,0.8893,0.9280,
0.21,0.9701,0.8883,0.9274,
0.22,0.9701,0.8863,0.9263,
0.23,0.9710,0.8843,0.9256,
0.24,0.9731,0.8822,0.9255,
0.25,0.9764,0.8802,0.9258,
0.26,0.9774,0.8772,0.9246,
0.27,0.9774,0.8741,0.9228,
0.28,0.9795,0.8711,0.9221,
0.29,0.9795,0.8690,0.9209,
.3,0.9795,0.8660,0.9192,
0.31,0.9795,0.8660,0.9192,
0.32,0.9804,0.8640,0.9185,
0.33,0.9804,0.8629,0.9179,
0.34,0.9804,0.8609,0.9168,
0.35,0.9814,0.8569,0.9149,
0.36,0.9814,0.8548,0.9137,
0.37,0.9814,0.8548,0.9137,
0.38,0.9814,0.8538,0.9131,
0.39,0.9814,0.8528,0.9125,
.4,0.9814,0.8497,0.9108,
0.41,0.9814,0.8467,0.9090,
0.42,0.9822,0.8426,0.9071,
0.43,0.9822,0.8386,0.9047,
0.44,0.9822,0.8376,0.9041,
0.45,0.9822,0.8355,0.9029,
0.46,0.9822,0.8335,0.9017,
0.47,0.9822,0.8305,0.8999,
0.48,0.9822,0.8244,0.8962,
0.49,0.9830,0.8223,0.8955,
.5,0.9830,0.8203,0.8943,
0.51,0.9830,0.8193,0.8937,
0.52,0.9864,0.8112,0.8903,
0.53,0.9864,0.8102,0.8896,
0.54,0.9864,0.8081,0.8884,
0.55,0.9864,0.8000,0.8834,
0.56,0.9873,0.7909,0.8782,
0.57,0.9873,0.7888,0.8770,
0.58,0.9885,0.7838,0.8743,
0.59,0.9885,0.7817,0.8730,
.6,0.9885,0.7777,0.8705,
0.61,0.9885,0.7766,0.8698,
0.62,0.9885,0.7736,0.8679,
0.63,0.9885,0.7685,0.8646,
0.64,0.9885,0.7655,0.8627,
0.65,0.9885,0.7614,0.8601,
0.66,0.9885,0.7574,0.8575,
0.67,0.9893,0.7513,0.8540,
0.68,0.9893,0.7503,0.8533,
0.69,0.9893,0.7503,0.8533,
.7,0.9893,0.7472,0.8514,
0.71,0.9893,0.7431,0.8487,
0.72,0.9893,0.7411,0.8474,
0.73,0.9893,0.7391,0.8460,
0.74,0.9893,0.7360,0.8440,
0.75,0.9893,0.7350,0.8433,
0.76,0.9893,0.7310,0.8406,
0.77,0.9893,0.7279,0.8386,
0.78,0.9893,0.7249,0.8366,
0.79,0.9902,0.7168,0.8316,
.8,0.9902,0.7117,0.8281,
0.81,0.9902,0.7066,0.8246,
0.82,0.9902,0.7025,0.8219,
0.83,0.9902,0.6995,0.8198,
0.84,0.9902,0.6914,0.8141,
0.85,0.9902,0.6883,0.8120,
0.86,0.9902,0.6802,0.8063,
0.87,0.9902,0.6741,0.8019,
0.88,0.9909,0.6629,0.7944,
0.89,0.9924,0.6589,0.7919,
.9,0.9924,0.6426,0.7800,
0.91,0.9924,0.6294,0.7702,
0.92,0.9924,0.6132,0.7578,
0.93,0.9924,0.5919,0.7413,
0.94,0.9924,0.5645,0.7193,
0.95,0.9924,0.5360,0.6957,
0.96,0.9940,0.5076,0.6720,
0.97,0.9940,0.4538,0.6230,
0.98,0.9946,0.3756,0.5453,
0.99,0.9946,0.2223,0.3632,
