Thr,Precision,Recall,F1
0.02,0.3026,0.9376,0.4576
0.04,0.3858,0.9330,0.5459
0.06,0.4387,0.9266,0.5954
0.08,0.4775,0.9201,0.6287
0.10,0.5094,0.9127,0.6539
0.12,0.5350,0.9058,0.6727
0.14,0.5596,0.9011,0.6904
0.16,0.5801,0.8940,0.7036
0.18,0.5980,0.8876,0.7146
0.20,0.6127,0.8818,0.7230
0.20,0.6127,0.8818,0.7230
0.20,0.6127,0.8818,0.7230
0.20,0.6127,0.8818,0.7230
.2,0.6127,0.8818,0.7230
0.22,0.6275,0.8764,0.7314
0.24,0.6403,0.8706,0.7379
0.26,0.6562,0.8663,0.7467
0.28,0.6679,0.8605,0.7521
.3,0.6799,0.8534,0.7568
0.32,0.6902,0.8496,0.7617
0.34,0.7025,0.8438,0.7667
0.36,0.7128,0.8363,0.7696
0.38,0.7212,0.8310,0.7722
.4,0.7293,0.8249,0.7742
0.42,0.7372,0.8195,0.7762
0.44,0.7449,0.8141,0.7780
0.46,0.7532,0.8070,0.7792
0.48,0.7608,0.7980,0.7790
.5,0.7674,0.7908,0.7789
0.52,0.7760,0.7815,0.7788
0.54,0.7825,0.7726,0.7776
0.56,0.7871,0.7624,0.7745
0.58,0.7921,0.7523,0.7717
.6,0.7974,0.7432,0.7694
0.62,0.8035,0.7338,0.7671
0.64,0.8074,0.7224,0.7626
0.66,0.8121,0.7120,0.7588
0.68,0.8173,0.7013,0.7549
.7,0.8214,0.6889,0.7493
0.72,0.8256,0.6746,0.7425
0.74,0.8293,0.6596,0.7348
0.76,0.8329,0.6425,0.7255
0.78,0.8377,0.6237,0.7150
.8,0.8428,0.6067,0.7055
0.82,0.8464,0.5876,0.6936
0.84,0.8497,0.5639,0.6779
0.86,0.8533,0.5356,0.6581
0.88,0.8580,0.5044,0.6353
.9,0.8651,0.4671,0.6066
0.92,0.8707,0.4242,0.5705
0.94,0.8773,0.3641,0.5147
0.96,0.8857,0.2849,0.4312
0.98,0.8820,0.1597,0.2704
