Thr,Precision,Recall,F1
0.02,0.7181,0.9903,0.8325
0.04,0.8270,0.9866,0.8997
0.06,0.8756,0.9827,0.9261
0.08,0.8995,0.9812,0.9386
.1,0.9215,0.9789,0.9493
0.12,0.9327,0.9781,0.9549
0.14,0.9439,0.9763,0.9598
0.16,0.9514,0.9740,0.9626
0.18,0.9573,0.9723,0.9648
.2,0.9602,0.9715,0.9658
0.22,0.9645,0.9697,0.9671
0.24,0.9682,0.9684,0.9683
0.26,0.9713,0.9653,0.9683
0.28,0.9749,0.9639,0.9694
.3,0.9763,0.9618,0.9690
0.32,0.9781,0.9597,0.9688
0.34,0.9807,0.9571,0.9688
0.36,0.9815,0.9550,0.9681
0.38,0.9821,0.9521,0.9669
.4,0.9827,0.9509,0.9665
0.42,0.9831,0.9482,0.9653
0.44,0.9845,0.9459,0.9648
0.46,0.9853,0.9436,0.9640
0.48,0.9866,0.9403,0.9629
.5,0.9880,0.9366,0.9616
0.52,0.9880,0.9339,0.9602
0.54,0.9886,0.9310,0.9590
0.56,0.9892,0.9275,0.9574
0.58,0.9896,0.9236,0.9555
.6,0.9895,0.9182,0.9526
0.62,0.9900,0.9152,0.9511
0.64,0.9903,0.9106,0.9488
0.66,0.9910,0.9067,0.9470
0.68,0.9909,0.9007,0.9437
.7,0.9915,0.8949,0.9408
0.72,0.9919,0.8889,0.9376
0.74,0.9928,0.8805,0.9333
0.76,0.9932,0.8737,0.9296
0.78,0.9934,0.8666,0.9257
.8,0.9938,0.8565,0.9201
0.82,0.9937,0.8437,0.9126
0.84,0.9950,0.8297,0.9049
0.86,0.9954,0.8109,0.8937
0.88,0.9953,0.7828,0.8764
.9,0.9953,0.7477,0.8539
0.92,0.9953,0.7011,0.8227
0.94,0.9950,0.6214,0.7650
0.96,0.9954,0.4913,0.6579
0.98,0.9969,0.2622,0.4152
