Thr,Precision,Recall,F1
0.02,0.6343,0.9827,0.7710
0.04,0.7473,0.9848,0.8498
0.06,0.7894,0.9817,0.8751
0.08,0.8131,0.9807,0.8891
.1,0.8259,0.9777,0.8954
0.12,0.8440,0.9777,0.9059
0.14,0.8559,0.9766,0.9123
0.16,0.8638,0.9726,0.9150
0.18,0.8761,0.9695,0.9205
.2,0.8829,0.9645,0.9219
0.22,0.8868,0.9624,0.9231
0.24,0.8941,0.9604,0.9261
0.26,0.8961,0.9543,0.9243
0.28,0.9024,0.9482,0.9248
.3,0.9057,0.9462,0.9255
0.32,0.9091,0.9442,0.9263
0.34,0.9124,0.9411,0.9265
0.36,0.9203,0.9381,0.9291
0.38,0.9245,0.9330,0.9288
.4,0.9299,0.9289,0.9294
0.42,0.9411,0.9249,0.9329
0.44,0.9458,0.9218,0.9337
0.46,0.9515,0.9157,0.9333
0.48,0.9594,0.9127,0.9355
.5,0.9707,0.9086,0.9386
0.52,0.9738,0.9056,0.9385
0.54,0.9759,0.9025,0.9378
0.56,0.9767,0.8934,0.9332
0.58,0.9798,0.8873,0.9313
.6,0.9798,0.8843,0.9296
0.62,0.9808,0.8822,0.9289
0.64,0.9829,0.8772,0.9270
0.66,0.9850,0.8650,0.9211
0.68,0.9871,0.8528,0.9150
.7,0.9870,0.8447,0.9103
0.72,0.9868,0.8376,0.9061
0.74,0.9868,0.8325,0.9031
0.76,0.9890,0.8183,0.8956
0.78,0.9888,0.8061,0.8881
.8,0.9898,0.7919,0.8799
0.82,0.9897,0.7766,0.8703
0.84,0.9894,0.7604,0.8599
0.86,0.9905,0.7431,0.8492
0.88,0.9916,0.7168,0.8321
.9,0.9911,0.6782,0.8053
0.92,0.9921,0.6335,0.7732
0.94,0.9930,0.5756,0.7288
0.96,0.9937,0.4802,0.6475
0.98,1.0000,0.2741,0.4303
